# 출처 K카(kcar.com) 직영 매물 목록 API. 수집 2026-09-08 17:21 KST. 수집 968대 중 조건 통과 319대. 개인 검토용 비공식 분석, 상업적 이용 금지. total_cost/insurance_history/owner_changes/listed_date/warranty 는 상세 페이지가 robots.txt Disallow 라 미수집(null).
id,url,maker,model,model_group,full_name,trim,trim_series,year_month,year,model_year,km,price,total_cost,total_cost_est,fuel,fuel_raw,transmission,cc,body_type,category_raw,accident,insurance_history,owner_changes,options,location,listed_date,warranty,photo,use_tag,rent_reg,reg_type,group_key,group_n,group_median_price,group_median_km,price_gap,km_gap,group_note,score
EC61403986,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61403986,현대,아반떼 AD,아반떼,현대 아반떼 AD 1.6 GDI 밸류 플러스 ,1.6 GDI 밸류 플러스,1.6,2018-07,2018,2018,66138,770,,827,가솔린,가솔린,오토,1591,세단,준중형차,단순수리,,,후방카메라|열선시트|스마트키|내비,영등포직영점 서울,,,https://img.kcar.com/3dcarpicture/2026/08/010/61403986_1/main/main780.jpg,,N,SELL,아반떼 AD 2018±1,13,1010,86906,0.2376,0.239,,65.9
EC61411816,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61411816,기아,올 뉴 카니발,카니발,기아 올 뉴 카니발 9인승 럭셔리 ,9인승 럭셔리,9인승,2018-01,2018,2018,57416,1100,,1180,디젤,디젤,오토,2199,미니밴,RV,무사고,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,고양직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture01/pic6141/kcarM_61411816_045.jpg,출퇴근용|영업용,N,SELL,올 뉴 카니발 2018±1,12,1180.0,88417,0.0678,0.3506,,55.2
EC61407494,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61407494,기아,올 뉴 카니발,카니발,기아 올 뉴 카니발 9인승 럭셔리 ,9인승 럭셔리,9인승,2017-03,2017,2017,68248,1070,,1148,디젤,디젤,오토,2199,미니밴,RV,무사고,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,오산동탄직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/08/093/61407494_3/main/main780.jpg,출퇴근용|영업용,N,SELL,올 뉴 카니발 2017±1,12,1180.0,88417,0.0932,0.2281,,54.2
EC61355237,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61355237,기아,스토닉,스토닉,기아 스토닉 1.4 가솔린 트렌디,1.4 가솔린 트렌디,1.4,2018-03,2018,2018,108377,950,,1020,가솔린,가솔린,오토,1368,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,세종공주직영점 충남,,,https://img.kcar.com/3dcarpicture/2026/05/169/61355237_1/main/main780.jpg,,N,SELL,스토닉 2018±1 / 1.4 계열,19,1120,77185,0.1518,-0.4041,트림계열 세분(가격 산포 큼),52.8
EC61394860,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61394860,기아,스토닉,스토닉,기아 스토닉 1.4 가솔린 트렌디,1.4 가솔린 트렌디,1.4,2018-08,2018,2019,116677,960,,1030,가솔린,가솔린,오토,1368,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,해운대직영점 경남,,,https://img.kcar.com/carpicture/carpicture09/pic6139/kcarM_61394860_045.jpg,,N,SELL,스토닉 2018±1 / 1.4 계열,19,1120,77185,0.1429,-0.5117,트림계열 세분(가격 산포 큼),51.4
EC61410857,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61410857,기아,스토닉,스토닉,기아 스토닉 1.6 디젤 트렌디,1.6 디젤 트렌디,1.6,2017-11,2017,2018,106938,750,,806,디젤,디젤,오토,1582,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,양산직영점 경남,,,https://img.kcar.com/carpicture/carpicture01/pic6141/kcarM_61410857_045.jpg,출퇴근용|영업용,N,SELL,스토닉 2017±1 / 1.6 계열,13,910,106938,0.1758,0.0,트림계열 세분(가격 산포 큼),51.4
EC61390761,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61390761,현대,아반떼 AD,아반떼,현대 아반떼 AD 1.6 GDI 밸류 플러스 ,1.6 GDI 밸류 플러스,1.6,2018-03,2018,2018,107823,790,,848,가솔린,가솔린,오토,1591,세단,준중형차,단순수리,,,후방카메라|열선시트|스마트키|내비,영등포직영점 서울,,,https://img.kcar.com/carpicture/carpicture09/pic6139/kcarM_61390761_045.jpg,,N,SELL,아반떼 AD 2018±1,13,1010,86906,0.2178,-0.2407,,50.0
EC61399122,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61399122,현대,더 뉴 아반떼 AD,아반떼,현대 더 뉴 아반떼 AD 1.6 스타일,1.6 스타일,1.6,2018-12,2018,2019,97713,910,,977,가솔린,가솔린,오토,1598,세단,준중형차,단순수리,,,후방카메라|열선시트|스마트키|내비,청주직영점 충북,,,https://img.kcar.com/3dcarpicture/2026/08/114/61399122_2/main/main780.jpg,,N,SELL,더 뉴 아반떼 AD 2018±1,17,1190,84121,0.2353,-0.1616,,50.0
EC61403316,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61403316,현대,벨로스터 (JS),벨로스터,현대 벨로스터 (JS) 1.4 터보 모던 코어,1.4 터보 모던 코어,1.4,2018-11,2018,2018,114365,750,,806,가솔린,가솔린,오토,1353,해치백,준중형차,단순수리,,,후방카메라|열선시트|스마트키|내비|크루즈,오산동탄직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/08/093/61403316_1/main/main780.jpg,,N,SELL,벨로스터 (JS) 2018±1,3,1020,101634,0.2647,-0.1253,,50.0
EC61402769,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61402769,기아,올 뉴 K7,K7,기아 올 뉴 K7 3.3 GDI 노블레스 세부등급 없음,3.3 GDI 노블레스,3.3,2017-04,2017,2017,109843,940,,1009,가솔린,가솔린,오토,3342,세단,대형차,단순수리,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈|선루프,분당용인직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61402769_045.jpg,,N,SELL,올 뉴 K7 2017±1,20,1190.0,94728,0.2101,-0.1596,,50.0
EC61394861,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61394861,기아,스토닉,스토닉,기아 스토닉 1.0 터보 프레스티지,1.0 터보 프레스티지,1.0,2018-08,2018,2019,36818,1290,,1383,가솔린,가솔린,오토,998,SUV,SUV,무사고,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,분당용인직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture09/pic6139/kcarM_61394861_045.jpg,,N,SELL,스토닉 2018±1 / 1.0 계열,4,1155.0,80098,-0.1169,0.5403,트림계열 세분(가격 산포 큼),50.0
EC61409172,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61409172,현대,쏘나타 뉴 라이즈,쏘나타,현대 쏘나타 뉴 라이즈 LPI 스타일 ,LPI 스타일,LPI,2018-08,2018,2019,101077,940,,1009,LPG,LPG,오토,1999,세단,중형차,단순수리,,,후방카메라|열선시트|스마트키|내비,세종공주직영점 충남,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61409172_045.jpg,영업용,N,SELL,쏘나타 뉴 라이즈 2018±1,28,1215.0,93053,0.2263,-0.0862,,50.0
EC61409297,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61409297,현대,코나,코나,현대 코나 1.6 터보 2WD 모던,1.6 터보 2WD 모던,1.6,2017-10,2017,2018,68262,1130,,1212,가솔린,가솔린,오토,1591,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,수원신갈직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61409297_045.jpg,,N,SELL,코나 2017±1,11,1110,95210,-0.018,0.283,,48.9
